Index,Area,Bounding Box,Centroid
213,1.0,"(979, 317, 2, 4)","(980, 319)"
214,1.0,"(543, 317, 6, 3)","(546, 318)"
215,1.5,"(636, 316, 9, 3)","(640, 317)"
216,0.0,"(1182, 315, 1, 3)","(1182, 316)"
217,5.5,"(873, 314, 20, 10)","(883, 319)"
218,4.5,"(980, 311, 5, 3)","(982, 312)"
219,37.0,"(216, 311, 9, 7)","(220, 314)"
220,22.5,"(140, 311, 6, 9)","(143, 315)"
221,0.0,"(1181, 310, 1, 4)","(1181, 312)"
222,21.0,"(863, 310, 45, 18)","(885, 319)"
223,18.0,"(962, 309, 17, 14)","(970, 316)"
224,7.0,"(732, 309, 20, 25)","(742, 321)"
225,22.0,"(250, 309, 7, 6)","(253, 312)"
226,14.5,"(137, 309, 34, 14)","(154, 316)"
227,1.5,"(970, 308, 6, 7)","(973, 311)"
228,8.0,"(885, 307, 37, 13)","(903, 313)"
229,5.5,"(134, 307, 48, 20)","(158, 317)"
230,0.0,"(1180, 306, 1, 3)","(1180, 307)"
231,37.5,"(629, 305, 10, 6)","(634, 308)"
232,11.5,"(678, 304, 10, 10)","(683, 309)"
233,10.5,"(749, 303, 35, 15)","(766, 310)"
234,0.0,"(681, 303, 2, 1)","(682, 303)"
235,0.0,"(1179, 302, 1, 3)","(1179, 303)"
236,10.5,"(868, 302, 49, 13)","(892, 308)"
237,1.0,"(663, 302, 4, 15)","(665, 309)"
238,1.5,"(539, 302, 21, 11)","(549, 307)"
239,25.0,"(529, 301, 6, 7)","(532, 304)"
240,2.0,"(988, 298, 4, 18)","(990, 307)"
241,25.0,"(647, 298, 11, 6)","(652, 301)"
242,0.0,"(1178, 297, 1, 4)","(1178, 299)"
243,47.0,"(522, 296, 52, 21)","(548, 306)"
244,61.5,"(0, 294, 49, 173)","(24, 380)"
245,9.0,"(977, 292, 17, 29)","(985, 306)"
246,27.5,"(976, 292, 11, 11)","(981, 297)"
247,3.0,"(531, 292, 129, 4)","(595, 294)"
248,53.5,"(392, 292, 9, 10)","(396, 297)"
249,60.0,"(908, 291, 44, 138)","(930, 360)"
250,4.0,"(0, 291, 9, 5)","(4, 293)"
251,0.0,"(1176, 288, 2, 8)","(1177, 292)"
252,3.5,"(773, 288, 33, 6)","(789, 291)"
253,2.0,"(982, 286, 6, 6)","(985, 289)"
254,2.0,"(905, 286, 12, 5)","(911, 288)"
255,3.0,"(806, 286, 13, 13)","(812, 292)"
256,5.0,"(965, 283, 8, 8)","(969, 287)"
257,5.5,"(881, 280, 26, 10)","(894, 285)"
258,0.0,"(1174, 279, 2, 7)","(1175, 282)"
259,0.0,"(979, 279, 5, 15)","(981, 286)"
260,0.5,"(961, 273, 4, 4)","(963, 275)"
261,19.5,"(855, 273, 61, 15)","(885, 280)"
262,10.5,"(962, 271, 16, 35)","(970, 288)"
263,0.0,"(1172, 270, 2, 8)","(1173, 274)"
264,13.0,"(778, 268, 32, 19)","(794, 277)"
265,0.5,"(974, 267, 5, 5)","(976, 269)"
266,0.0,"(980, 265, 1, 2)","(980, 266)"
267,0.0,"(1170, 261, 2, 8)","(1171, 265)"
268,1.0,"(683, 259, 2, 5)","(684, 261)"
269,61.5,"(954, 258, 20, 37)","(964, 276)"
270,0.0,"(1168, 252, 2, 8)","(1169, 256)"
271,0.5,"(692, 250, 4, 2)","(694, 251)"
272,12.5,"(954, 249, 13, 16)","(960, 257)"
273,0.0,"(1167, 248, 1, 3)","(1167, 249)"
274,1.5,"(1131, 248, 5, 19)","(1133, 257)"
275,0.0,"(1166, 244, 1, 3)","(1166, 245)"
276,0.0,"(1165, 239, 1, 3)","(1165, 240)"
277,12.5,"(941, 238, 17, 13)","(949, 244)"
278,2.0,"(958, 237, 7, 7)","(961, 240)"
279,0.0,"(1164, 234, 1, 4)","(1164, 236)"
280,44.5,"(702, 234, 16, 9)","(710, 238)"
281,0.0,"(1163, 230, 1, 3)","(1163, 231)"
282,1.5,"(934, 229, 5, 7)","(936, 232)"
283,0.0,"(959, 228, 4, 9)","(961, 232)"
284,0.0,"(945, 228, 1, 1)","(945, 228)"
285,3.5,"(947, 227, 7, 11)","(950, 232)"
286,4.0,"(1140, 226, 42, 185)","(1161, 318)"
287,0.0,"(1162, 225, 1, 4)","(1162, 227)"
288,5.0,"(695, 223, 8, 9)","(699, 227)"
289,0.0,"(1161, 221, 1, 3)","(1161, 222)"
290,0.0,"(1160, 216, 1, 3)","(1160, 217)"
291,0.5,"(935, 215, 4, 5)","(937, 217)"
292,0.0,"(921, 215, 3, 2)","(922, 216)"
293,14.0,"(706, 213, 19, 14)","(715, 220)"
294,0.0,"(1159, 212, 1, 3)","(1159, 213)"
295,2.5,"(917, 210, 8, 7)","(921, 213)"
296,587.5,"(854, 210, 128, 198)","(918, 309)"
297,0.0,"(731, 210, 1, 1)","(731, 210)"
298,0.0,"(1158, 208, 1, 3)","(1158, 209)"
299,0.5,"(729, 206, 6, 9)","(732, 210)"
300,0.0,"(1157, 204, 1, 2)","(1157, 205)"
301,8.5,"(717, 202, 12, 13)","(723, 208)"
302,27.5,"(935, 200, 9, 8)","(939, 204)"
303,0.0,"(1156, 199, 1, 4)","(1156, 201)"
304,0.0,"(1155, 195, 1, 2)","(1155, 196)"
305,0.0,"(895, 193, 1, 1)","(895, 193)"
306,1.5,"(912, 192, 5, 8)","(914, 196)"
307,0.0,"(1154, 191, 1, 3)","(1154, 192)"
308,0.0,"(932, 190, 2, 4)","(933, 192)"
309,16.5,"(0, 189, 48, 17)","(24, 197)"
310,0.0,"(1153, 187, 1, 3)","(1153, 188)"
311,0.0,"(934, 187, 1, 2)","(934, 188)"
312,1.5,"(915, 186, 3, 3)","(916, 187)"
313,156.5,"(525, 184, 237, 187)","(643, 277)"
314,0.0,"(936, 181, 2, 4)","(937, 183)"
315,3.5,"(763, 176, 15, 9)","(770, 180)"
316,10.5,"(875, 175, 30, 17)","(890, 183)"
317,5.0,"(902, 174, 7, 16)","(905, 182)"
318,0.0,"(1149, 169, 1, 3)","(1149, 170)"
319,2.5,"(1114, 169, 17, 78)","(1122, 208)"
320,6.5,"(860, 169, 7, 9)","(863, 173)"
321,4.5,"(866, 166, 8, 8)","(870, 170)"
322,16.0,"(0, 164, 46, 31)","(23, 179)"
323,0.0,"(1147, 160, 1, 2)","(1147, 161)"
324,93.0,"(796, 156, 107, 40)","(849, 176)"
325,0.0,"(1146, 155, 1, 3)","(1146, 156)"
326,0.0,"(945, 155, 4, 9)","(947, 159)"
327,3.5,"(841, 154, 25, 8)","(853, 158)"
328,29.0,"(746, 154, 88, 34)","(790, 171)"
329,0.0,"(1145, 151, 1, 2)","(1145, 152)"
330,0.0,"(1144, 147, 1, 2)","(1144, 148)"
331,138.5,"(925, 145, 53, 121)","(951, 205)"
332,1126.0,"(603, 145, 39, 40)","(622, 165)"
333,0.0,"(1143, 142, 1, 3)","(1143, 143)"
334,0.0,"(1142, 138, 1, 2)","(1142, 139)"
335,1.0,"(938, 134, 7, 15)","(941, 141)"
336,10.5,"(906, 134, 15, 41)","(913, 154)"
337,0.0,"(1141, 132, 1, 5)","(1141, 134)"
338,0.0,"(920, 122, 3, 11)","(921, 127)"
339,15.5,"(920, 119, 28, 87)","(934, 162)"
340,0.0,"(1137, 115, 4, 16)","(1139, 123)"
341,0.0,"(1136, 111, 1, 3)","(1136, 112)"
342,0.0,"(1135, 107, 1, 3)","(1135, 108)"
343,4.5,"(1100, 107, 13, 63)","(1106, 138)"
344,1.0,"(1113, 100, 28, 125)","(1127, 162)"
345,13.5,"(947, 99, 35, 165)","(964, 181)"
346,0.0,"(1132, 94, 1, 2)","(1132, 95)"
347,0.0,"(1131, 89, 1, 2)","(1131, 90)"
348,0.0,"(1130, 85, 1, 3)","(1130, 86)"
349,5.0,"(965, 85, 9, 13)","(969, 91)"
350,1.5,"(1107, 79, 7, 20)","(1110, 89)"
351,0.0,"(1128, 75, 2, 9)","(1129, 79)"
352,0.0,"(1106, 70, 3, 8)","(1107, 74)"
353,0.0,"(1126, 68, 2, 6)","(1127, 71)"
354,4.0,"(939, 65, 8, 10)","(943, 70)"
355,0.0,"(1093, 60, 1, 1)","(1093, 60)"
356,0.0,"(1122, 50, 1, 2)","(1122, 51)"
357,6.0,"(1086, 36, 14, 73)","(1093, 72)"
358,2.5,"(952, 36, 6, 15)","(955, 43)"
359,2.5,"(1097, 32, 5, 26)","(1099, 45)"
360,2.0,"(958, 16, 8, 19)","(962, 25)"
361,202.0,"(920, 10, 50, 132)","(945, 76)"
362,15.0,"(190, 8, 6, 5)","(193, 10)"
363,2.0,"(1080, 7, 5, 31)","(1082, 22)"
364,41.0,"(1118, 0, 162, 381)","(1199, 190)"
365,2.0,"(1114, 0, 92, 386)","(1160, 193)"
366,0.0,"(1111, 0, 11, 48)","(1116, 24)"
367,17.5,"(1103, 0, 79, 358)","(1142, 179)"
368,23.5,"(1095, 0, 93, 419)","(1141, 209)"
369,6.0,"(1082, 0, 48, 228)","(1106, 114)"
370,22.5,"(1068, 0, 101, 442)","(1118, 221)"
371,74.5,"(963, 0, 184, 513)","(1055, 256)"
372,17.5,"(958, 0, 42, 294)","(979, 147)"
373,12.5,"(947, 0, 37, 95)","(965, 47)"
374,65.5,"(904, 0, 76, 210)","(942, 105)"
375,1.5,"(969, 0, 6, 9)","(972, 4)"
376,3.0,"(966, 0, 4, 9)","(968, 4)"
